,Name,ReviewCount,Brand,ImageURL,Rating
1368,"Covergirl Outlast UltiMatte One Step Liquid Lip Color, Brew-tiful Day, 0.11 oz",1,covergirl,https://i5.walmartimages.com/asr/2ed7a79f-8a35-4c6d-a703-307112d4995b_1.c7a72cf0ed58f27d17b3fb63fec87151.jpeg | https://i5.walmartimages.com/asr/75c989a2-7605-41c5-9e6f-d9776568b2b0.71c7b01acf943a06cdde3ebb9503318a.jpeg | https://i5.walmartimages.com/asr/86dbc0e4-5e7c-4e12-8e78-bfea0f8b557f.960a7406bddf074e2b441635d207daf6.jpeg | https://i5.walmartimages.com/asr/ebbab7ef-6fb7-4eef-b0db-470e8c7a19ba.3f565be32f605e3871c6001293735462.jpeg,5
3897,"Revlon Almay Wake Up Hydrating Makeup, 0.35 oz",1,almay,https://i5.walmartimages.com/asr/37ccb92a-d452-4042-8d4c-8a6d88639663_1.fde6b6901ca818c4696c3f5309eca560.jpeg | https://i5.walmartimages.com/asr/eb08f00b-a7be-4b48-bfc5-4e68f8c1da61_1.94151b9ac62f182ebb5d92b9bc815db3.jpeg | https://i5.walmartimages.com/asr/d6eb5fb9-4e76-46c4-8974-dfde8fd49192_1.7efc36fd989a9f1a8387d8825b6eafb8.jpeg | https://i5.walmartimages.com/asr/8c1be063-0b1f-4d2d-b3b2-c19c01cf1411_1.b9ad9128549c587ffaeb5b2a018d29cc.jpeg | https://i5.walmartimages.com/asr/9e820c53-dd80-414c-a5d7-036e4617f73a_1.0592120a41ac7982af95b2dabeaf587b.jpeg | https://i5.walmartimages.com/asr/89a0afdc-8de4-45f9-899c-fffa0f1a6471_1.2bb73a202b07e35b113684ccf4369bc4.jpeg | https://i5.walmartimages.com/asr/eaa54bff-30f4-421b-a945-84ff8af99be5_1.507bc9b1c6e0462915f1006bc22c13da.jpeg | https://i5.walmartimages.com/asr/010fdbe5-54b9-43ab-8b6c-fb8ae9988211_1.ac0003d4bc34df9a38e90062a96f61f7.jpeg | https://i5.walmartimages.com/asr/881f4c66-79aa-4352-87d6-36e1a0606fa7_1.d3cf425349436e25aa428e3056ff428a.jpeg,5
1229,Clean W-BB-1725 Clean Shower Fresh Moisture Rich Body Butter - 5 oz - Body Butter,1,clean,https://i5.walmartimages.com/asr/8d56e3fe-002a-47e2-b6b2-2441bfb4737d_1.ed0f15abf92ef1bccbf55ff7c3daabfe.jpeg | https://i5.walmartimages.com/asr/14504fbb-50c8-4bd3-b6aa-7dab58807984_1.f6dcf3978d79b13e7f7631f4db5f57a6.jpeg,5
1240,Clinique All About Eyes De-Puffing Eye Massage .5 OZ.,2,clinique,https://i5.walmartimages.com/asr/5096dafc-79a5-4461-8d37-1b2b1728c337_1.84deedaff8a27853667ab503f1424c49.jpeg | https://i5.walmartimages.com/asr/2e1d83cc-1f75-4d17-9f87-710861b94eef_1.928cced68e25b2e4a847688ef4bad68e.jpeg | https://i5.walmartimages.com/asr/682dd5c5-30e5-420c-902a-b18f1c02a092_1.e6ce58477dd3e6244d43b7f5ac2bd25b.jpeg,5
3932,"Revlon Perfectweeze Tweezer, Slant Tip, 1 ea (Pack of 2)",5,revlon,https://i5.walmartimages.com/asr/aee77d8c-4d25-4287-a42f-52e11bdde05e_1.d0bc49ecd094070298b2d0c2050f84e8.jpeg,5
3929,"Revlon Nail Enamel, Teak Rose 0.50 oz (Pack of 4)",1,revlon,https://i5.walmartimages.com/asr/a746bc45-0dba-4d34-bfce-e7ba5b8b3bcf_1.b78a6bfa600d95c28f5cb39ab2853b03.jpeg,5
1250,Clinique Take the Day Off Makeup Remover 5.1oz - Travel Size Set (3 x 1.7oz ea),1,clinique,https://i5.walmartimages.com/asr/3b668007-5cc8-4227-935c-cfbcd41d0d0e_1.061c510e6f4aeb71a12a05a61e26c576.jpeg | https://i5.walmartimages.com/asr/c26e83ef-4713-4b83-8d46-065c9e57e935.d6c9123687b5483ba98fb13d11e6e54f.jpeg,5
3925,Revlon Matte Eye Shadow,1,revlon,https://i5.walmartimages.com/asr/1cc8aa80-e093-441d-b8c9-4a76b84cf05e_1.aa164f5dc503d1cecd7402c506b6ec05.jpeg | https://i5.walmartimages.com/asr/6b79bb2d-6998-4367-b106-aae00d98183e_1.511912534821be5c049b430586354738.jpeg | https://i5.walmartimages.com/asr/421db29e-ba1d-44d8-96c4-00bcf939161a_1.799f90b7d11d825057bdf26bfc90f2a1.jpeg | https://i5.walmartimages.com/asr/d1fe97cb-9b03-4812-86ee-0bece5fd0ec0_1.236a499a8b781286b134d2df61944811.jpeg | https://i5.walmartimages.com/asr/3e1caab3-1133-4e81-9d18-0898e1fd160c_1.27191905b3879cd46769c14ac2d99d19.jpeg | https://i5.walmartimages.com/asr/dc4c23c7-45d5-459a-a197-5baff90b8773_1.8cf66dfaec041a02f8bfc92a19ec26a9.jpeg | https://i5.walmartimages.com/asr/41dd5cf0-2c17-4f5a-a15a-0d15f36b1cc1_1.88b148b9715fd88655472a1478f30da8.jpeg | https://i5.walmartimages.com/asr/3dfa4619-3ff4-47d8-bb69-80715e872b5d_1.0602fbc62b74bed17ad36e428e8cb81c.jpeg | https://i5.walmartimages.com/asr/5158824d-f44f-400e-8efa-bb8e962aaf37_1.af5ca7f5e7c44ca63edb52620598eb6d.jpeg | https://i5.walmartimages.com/asr/2b04bc87-b916-4016-be3b-1cf996e28ea5_1.1ee9e625b70cb5cb29e1534252c5d829.jpeg,5
1263,Clubman Pinaud Styptic Pencil,1,"clubman, pinaud",https://i5.walmartimages.com/asr/a8f0f352-dacb-4e36-b833-c6258bcb9072_1.c2a7b5c9b3c343de9b0b191386c04ffa.jpeg,5
1265,"Clubman Reserve Brandy Spice After Shave Lotion, 6 oz",1,"clubman, pinaud",https://i5.walmartimages.com/asr/17fef557-62c0-4cf4-83d5-27f2472b4c8f_1.bed1902799b5a7c704290a62b8de4be9.jpeg,5
